t[s]  E[J]  dE/E0
   0.0000000000000000E+00   -7.2865191113189898E+42    0.0000000000000000E+00
   6.3115200000000000E+11   -7.2865191265659458E+42    2.0924883063285086E-09
   1.2623040000000000E+12   -7.2865151311505042E+42   -5.4623729448260595E-07
   1.8934560000000000E+12   -7.2865238675023976E+42    6.5273738188170908E-07
   2.5246080000000000E+12   -7.2865106449045445E+42   -1.1619285307479591E-06
   3.1557600000000000E+12   -7.2865141287524744E+42   -6.8380614107392793E-07
   3.7869120000000000E+12   -7.2865166965357929E+42   -3.3140422195788958E-07
   4.4180640000000000E+12   -7.2865146728065273E+42   -6.0914030343819185E-07
   5.0492160000000000E+12   -7.2865128987014470E+42   -8.5261802623756199E-07
   5.6803680000000000E+12   -7.2865115455045737E+42   -1.0383304154522116E-06
   6.3115200000000000E+12   -7.2865143482713283E+42   -6.5367943028904408E-07
   6.9426720000000000E+12   -7.2865231094014767E+42    5.4869580739060932E-07
   7.5738240000000000E+12   -7.2865126504304032E+42   -8.8669068012849383E-07
   8.2049760000000000E+12   -7.2865066735822683E+42   -1.7069517737460465E-06
   8.8361280000000000E+12   -7.2865197179137314E+42    8.3248905591680075E-08
   9.4672800000000000E+12   -7.2865104271552170E+42   -1.1918123921941669E-06
   1.0098432000000000E+13   -7.2865182414869501E+42   -1.1937552436483627E-07
   1.0729584000000000E+13   -7.2865216036283203E+42    3.4204388850169939E-07
   1.1360736000000000E+13   -7.2865096610634662E+42   -1.2969506261179869E-06
   1.1991888000000000E+13   -7.2865169483682887E+42   -2.9684279531723589E-07
   1.2623040000000000E+13   -7.2865119148691196E+42   -9.8763892062286655E-07
   1.3254192000000000E+13   -7.2865243772425055E+42    7.2269398257705323E-07
   1.3885344000000000E+13   -7.2865190556608528E+42   -7.6385083369536075E-09
   1.4516496000000000E+13   -7.2865234870180850E+42    6.0051981314485904E-07
   1.5147648000000000E+13   -7.2865138228593959E+42   -7.2578682812688815E-07
   1.5778800000000000E+13   -7.2865127065119157E+42   -8.7899406784822138E-07
   1.6409952000000000E+13   -7.2865212223952744E+42    2.8972356379056289E-07
   1.7041104000000000E+13   -7.2865090259084179E+42   -1.3841191408174039E-06
   1.7672256000000000E+13   -7.2865153252746189E+42   -5.1959575115031543E-07
   1.8303408000000000E+13   -7.2865141434670358E+42   -6.8178671847632281E-07
   1.8934560000000000E+13   -7.2865094763938648E+42   -1.3222946344918295E-06
   1.9565712000000000E+13   -7.2865246128497668E+42    7.5502866223624434E-07
   2.0196864000000000E+13   -7.2865158186738094E+42   -4.5188177374431492E-07
   2.0828016000000000E+13   -7.2865180092871076E+42   -1.5124257074610466E-07
   2.1459168000000000E+13   -7.2865149449867860E+42   -5.7178635507031213E-07
   2.2090320000000000E+13   -7.2865193431609451E+42    3.1817930030655715E-08
   2.2721472000000000E+13   -7.2865118654442645E+42   -9.9442197496590602E-07
   2.3352624000000000E+13   -7.2865123083718473E+42   -9.3363470795649063E-07
   2.3983776000000000E+13   -7.2865161488696959E+42   -4.0656577559467954E-07
   2.4614928000000000E+13   -7.2865261580028084E+42    9.6708506640584849E-07
   2.5246080000000000E+13   -7.2865160563053019E+42   -4.1926928910833682E-07
   2.5877232000000000E+13   -7.2865040324058610E+42   -2.0694261414057494E-06
   2.6508384000000000E+13   -7.2865149799833187E+42   -5.6698343996235722E-07
   2.7139536000000000E+13   -7.2865103499675597E+42   -1.2024056063342389E-06
   2.7770688000000000E+13   -7.2865117871470799E+42   -1.0051674603433302E-06
   2.8401840000000000E+13   -7.2865229457529129E+42    5.2623672079469726E-07
   2.9032992000000000E+13   -7.2865222641499038E+42    4.3269369994569642E-07
   2.9664144000000000E+13   -7.2865318436236563E+42    1.7473782024015225E-06
   3.0295296000000000E+13   -7.2865008750580789E+42   -2.5027397351633630E-06
   3.0926448000000000E+13   -7.2865104953735889E+42   -1.1824501204568729E-06
   3.1557600000000000E+13   -7.2865294572061867E+42    1.4198668855226833E-06
   3.2188752000000000E+13   -7.2865173014144377E+42   -2.4839083305519666E-07
   3.2819904000000000E+13   -7.2865196723668794E+42    7.6998067399351395E-08
   3.3451056000000000E+13   -7.2865188364660112E+42   -3.7720751766268595E-08
