m_lo  m_hi  count  percent
  0.2   0.4     32957  32.957000
  0.4   0.6     22295  22.295000
  0.6   0.8     15305  15.305000
  0.8   1.0      8441   8.441000
  1.0   1.2      5232   5.232000
  1.2   1.4      3507   3.507000
  1.4   1.6      2673   2.673000
  1.6   1.8      1950   1.950000
  1.8   2.0      1595   1.595000
  2.0   2.2      1183   1.183000
  2.2   2.4       949   0.949000
  2.4   2.6       756   0.756000
  2.6   2.8       690   0.690000
  2.8   3.0       542   0.542000
  3.0   3.2       472   0.472000
  3.2   3.4       453   0.453000
  3.4   3.6       380   0.380000
  3.6   3.8       336   0.336000
  3.8   4.0       284   0.284000
